epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8785,1.35147,2.42769,1.47123,0.40035,0.50873,0.40709,0.22437,1.41783,2.68334,1.54812,0.000298732,0.000298732,0.000298732
2,33.4102,1.17908,1.46628,1.27429,0.42504,0.58976,0.43884,0.23433,1.44605,1.7944,1.42511,0.000598754,0.000598754,0.000598754
3,49.0622,1.24248,1.40199,1.30947,0.65164,0.44429,0.4699,0.26249,1.40928,1.86467,1.56858,0.000895776,0.000895776,0.000895776
4,64.79,1.23098,1.41187,1.33741,0.43179,0.57878,0.52355,0.30559,1.46679,1.67996,1.51341,0.000895501,0.000895501,0.000895501
5,80.7799,1.21803,1.20076,1.28996,0.51201,0.59147,0.56775,0.32522,1.40266,1.70267,1.49867,0.000891002,0.000891002,0.000891002
6,106.817,1.17419,1.05673,1.26297,0.71426,0.55981,0.56964,0.32938,1.44904,1.31479,1.51707,0.000886502,0.000886502,0.000886502
7,126.482,1.13458,0.99531,1.24142,0.53274,0.56526,0.56713,0.32291,1.42359,1.23917,1.49804,0.000882003,0.000882003,0.000882003
8,141.876,1.14678,0.95324,1.24358,0.52108,0.61563,0.56807,0.33574,1.40164,1.31308,1.49153,0.000877503,0.000877503,0.000877503
9,157.533,1.11826,0.9203,1.21744,0.54509,0.58256,0.56548,0.34575,1.37112,1.33961,1.47141,0.000873004,0.000873004,0.000873004
10,173.378,1.12153,0.90935,1.2308,0.56048,0.63871,0.61326,0.34693,1.3968,1.20263,1.52669,0.000868504,0.000868504,0.000868504
11,188.814,1.09025,0.89169,1.20923,0.53188,0.64901,0.59485,0.36062,1.32882,1.33636,1.40607,0.000864004,0.000864004,0.000864004
12,204.38,1.08837,0.87249,1.19422,0.57369,0.65038,0.59602,0.35949,1.35752,1.10262,1.46678,0.000859505,0.000859505,0.000859505
13,219.476,1.07835,0.87187,1.21043,0.62579,0.59027,0.60335,0.37229,1.33136,1.0957,1.46595,0.000855005,0.000855005,0.000855005
14,234.902,1.086,0.848,1.18946,0.57641,0.61262,0.58466,0.33688,1.38858,1.2048,1.50468,0.000850506,0.000850506,0.000850506
15,250.361,1.05046,0.80124,1.16972,0.58825,0.66993,0.6077,0.36954,1.34688,1.1205,1.45866,0.000846006,0.000846006,0.000846006
16,265.601,1.0551,0.79964,1.18714,0.56664,0.64723,0.61327,0.34014,1.45802,1.21993,1.55456,0.000841507,0.000841507,0.000841507
17,280.835,1.07203,0.81193,1.18941,0.55192,0.67228,0.60347,0.35258,1.40047,1.23609,1.48159,0.000837007,0.000837007,0.000837007
18,296.006,1.06295,0.83332,1.19128,0.64266,0.65944,0.65433,0.38045,1.3287,1.08946,1.45322,0.000832508,0.000832508,0.000832508
19,311.384,1.06461,0.80397,1.1921,0.69327,0.63888,0.66277,0.39128,1.2965,1.0286,1.39588,0.000828008,0.000828008,0.000828008
20,326.799,1.031,0.76778,1.17863,0.59671,0.63325,0.6135,0.37524,1.30077,1.1459,1.41766,0.000823509,0.000823509,0.000823509
21,342.478,1.01643,0.77292,1.1568,0.79103,0.61324,0.63626,0.38403,1.30051,1.04264,1.42626,0.000819009,0.000819009,0.000819009
